date,timestamp,satellite,latitude,longitude,cloud_percentage,VV_dB,VH_dB,angle,VH_VV_ratio,NDVI,EVI,NDWI,NDMI,Blue,Green,Red,NIR,SWIR1,SWIR2
2024-01-16,2024-01-16 05:35:31.345,S2,11.761146,76.587991,2.637028,,,,,0.43293974690098797,0.2263419126337166,-0.5428314285130684,-0.12396139074051259,0.038720154043645705,0.06269576379974327,0.0839188703465982,0.21234274358131153,0.2724354300385109,0.19858267008985883
2024-01-18,2024-01-18 05:25:28.565,S2,11.761146,76.587991,3.982862,,,,,0.384473373720437,0.23913539036628306,-0.46980629434878435,-0.14655503145341225,0.06105750962772785,0.08933645699614891,0.11020564826700899,0.24867959025965117,0.33380025673940955,0.23914942233632863
2024-01-21,2024-01-21 05:35:24.639,S2,11.761146,76.587991,0.860228,,,,,0.35759642355492105,0.18541176056350542,-0.47998331208305556,-0.16407381882302735,0.047342490372272145,0.06843376123234918,0.09239653401797177,0.19529062951406864,0.27206572528883183,0.19847329910141207
2024-01-22,2024-01-22 00:40:55.000,S1,11.761146,76.587991,,-10.159607664175015,-20.32266066502902,42.743901211493494,2.000339121036252,,,,,,,,,,
2024-01-23,2024-01-23 05:25:36.563,S2,11.761146,76.587991,9.625281,,,,,0.39432662375979016,0.2580274253049632,-0.47480154858177326,-0.15430954814122322,0.06922747111681643,0.08861219512195123,0.10827869062901156,0.24994582905695897,0.340898973042362,0.2525362002567394
2024-01-26,2024-01-26 05:35:31.141,S2,11.761146,76.587991,3.41975,,,,,0.3661722558202649,0.19869878360989088,-0.4793731104756348,-0.16806299911882006,0.052011810012836966,0.07094454428754815,0.09378639281129655,0.20229627337397596,0.28478562259306806,0.2182655969191271
2024-01-28,2024-01-28 05:25:32.278,S2,11.761146,76.587991,33.623388,,,,,0.3558615104644501,0.2038786641789712,-0.4928882828902142,-0.1705064050788182,0.05111527599486521,0.07863478818998716,0.11029486521181,0.2325019265437769,0.3281671373555841,0.2493820282413351
2024-01-31,2024-01-31 05:35:27.870,S2,11.761146,76.587991,0.250799,,,,,0.3268110387494848,0.1731540550365348,-0.4613590705033332,-0.1764572878923768,0.05143979460847241,0.07310385109114248,0.10086675224646983,0.19859383962044208,0.28417817715019256,0.2102152759948652
2024-02-02,2024-02-02 05:25:34.451,S2,11.761146,76.587991,31.806219,,,,,0.30060947841086477,0.20998641764806392,-0.41666978397805876,-0.19433592447945341,0.08585879332477535,0.10827137355584082,0.14149756097560978,0.26404364384108236,0.39037612323491655,0.3009157894736842
2024-02-03,2024-02-03 00:40:54.000,S1,11.761146,76.587991,,-10.596829633504694,-22.978853503279986,42.74870671596624,2.168464936968151,,,,,,,,,,
2024-02-05,2024-02-05 05:35:30.968,S2,11.761146,76.587991,0.020318,,,,,0.3105622278109696,0.1593466902160967,-0.45992563692064115,-0.17908024143904316,0.04925982028241335,0.06942772785622593,0.09884287548138641,0.18843388781238427,0.26983363286264445,0.2091915275994865
2024-02-07,2024-02-07 05:25:33.309,S2,11.761146,76.587991,0.000631,,,,,0.3156280951503183,0.17778039162426287,-0.4630947224154948,-0.1802229972860733,0.05233234916559693,0.08141848523748396,0.11534736842105262,0.22279384037879066,0.31963350449293965,0.24524390243902439
2024-02-10,2024-02-10 05:35:28.839,S2,11.761146,76.587991,4e-06,,,,,0.3248872525849622,0.1772309339439499,-0.45677323507894474,-0.14053825553773608,0.05253132220795892,0.07689922978177151,0.10513119383825417,0.20701488854413772,0.2739551989730423,0.20433992297817719
2024-02-12,2024-02-12 05:25:38.183,S2,11.761146,76.587991,0.219441,,,,,0.3147561965769363,0.19106398023382407,-0.46366917575803196,-0.14435429501193373,0.06075237483953786,0.08996405648267009,0.1282795892169448,0.24684697724352755,0.3291523748395379,0.2577270860077022
2024-02-15,2024-02-15 00:40:54.000,S1,11.761146,76.587991,,-11.709662723619212,-22.31018840190648,42.74520347575949,1.9052801885493476,,,,,,,,,,
2024-02-15,2024-02-15 05:35:33.554,S2,11.761146,76.587991,0.389786,,,,,0.28828142013899005,0.15466267714137513,-0.4509065149759356,-0.16247865294382197,0.053163928112965345,0.0760971758664955,0.11110949935815148,0.20154480284154033,0.2790894736842105,0.21683915275994867
2024-02-17,2024-02-17 05:25:35.319,S2,11.761146,76.587991,51.588786,,,,,0.25882837278099496,0.1573935801028507,-0.41201795092654564,-0.17028720797875296,0.06846611039794609,0.09837329910141207,0.13905982028241334,0.23686623705290402,0.3332765083440309,0.25629242618741976
2024-02-20,2024-02-20 05:35:30.367,S2,11.761146,76.587991,5.350446,,,,,0.29595722745863856,0.14653631265745476,-0.4621455239624625,-0.20874919063323147,0.04281540436456996,0.06910860077021823,0.10202541720154043,0.18856764910921972,0.28721566110397945,0.2200319640564827
2024-02-22,2024-02-22 05:25:37.765,S2,11.761146,76.587991,4.756438,,,,,0.2681443678143762,0.17124016213056525,-0.4088643170725695,-0.19119169561483754,0.07605802310654684,0.10115905006418484,0.13913068035943518,0.24174685825967976,0.3552911424903723,0.27630218228498077
2024-02-25,2024-02-25 05:35:32.060,S2,11.761146,76.587991,13.141474,,,,,0.273430911948957,0.15274871459174916,-0.4317899492071282,-0.18371834222550654,0.059249679075738124,0.08248459563543005,0.1185390243902439,0.20842747399834524,0.30143876765083444,0.2292987163029525
2024-02-27,2024-02-27 05:25:36.654,S2,11.761146,76.587991,5.058885,,,,,0.2622961168027933,0.15453392296018428,-0.4450017056592943,-0.1808097070866744,0.058171758664955074,0.09427522464698332,0.1432397946084724,0.24616175086568656,0.3537052631578948,0.27108228498074455
2024-03-01,2024-03-01 05:35:32.419,S2,11.761146,76.587991,3.520563,,,,,0.2677707206753462,0.14345094236627814,-0.4463264377838137,-0.17349229107231082,0.05026790757381258,0.08020770218228498,0.12091168164313222,0.2101006395971362,0.2973772785622594,0.2248673940949936
2024-03-03,2024-03-03 05:25:34.121,S2,11.761146,76.587991,4.49737,,,,,0.2373581733899112,0.12886524307540265,-0.4371951837974814,-0.21238992882410943,0.055788189987163034,0.08373992297817716,0.13239383825417203,0.21391630082825183,0.32860526315789473,0.27503003851091146
2024-03-06,2024-03-06 05:35:27.406,S2,11.761146,76.587991,8.472766,,,,,0.20340033342548172,0.10754310687061294,-0.39152644756835714,-0.24051868947622954,0.06114775353016688,0.08137034659820283,0.12320282413350449,0.18641206576215133,0.30384865211810014,0.2528852374839538
2024-03-08,2024-03-08 05:25:37.840,S2,11.761146,76.587991,2.662931,,,,,0.1886268675884442,0.10826065648828123,-0.37131885932270026,-0.2628735062446106,0.06954005134788191,0.0974668806161746,0.14497432605905006,0.212619762231664,0.3638699614890886,0.29812798459563544
2024-03-10,2024-03-10 00:40:54.000,S1,11.761146,76.587991,,-10.296139538113124,-21.79527908908201,42.74711878131134,2.116839909599382,,,,,,,,,,
2024-03-11,2024-03-11 05:35:32.682,S2,11.761146,76.587991,2.305388,,,,,0.19959609417600768,0.10723755904288575,-0.36508405492984125,-0.23504709269076204,0.0636632862644416,0.08764017971758666,0.12571219512195123,0.18867959041956606,0.30413863928112966,0.24274685494223364
2024-03-13,2024-03-13 05:25:34.553,S2,11.761146,76.587991,1.543844,,,,,0.20946016894355102,0.11724829125001811,-0.43352302100601864,-0.24878355040747585,0.0593043645699615,0.08915019255455711,0.14683671373555843,0.22481977310275542,0.37307727856225936,0.3121967907573812
2024-03-16,2024-03-16 05:35:30.861,S2,11.761146,76.587991,9.862402,,,,,0.19797381237429648,0.103058098084836,-0.4184983998670199,-0.24158638372257368,0.05528780487804878,0.07987342747111682,0.1302783055198973,0.19476046322322474,0.3181603337612324,0.2634834403080873
2024-03-18,2024-03-18 05:25:37.880,S2,11.761146,76.587991,1.737348,,,,,0.19233670157649993,0.1043789365309581,-0.41332596807846195,-0.2580517855981597,0.05700038510911425,0.08880308087291397,0.14460231065468548,0.2137856237657263,0.36180218228498073,0.29787355584082154
2024-03-21,2024-03-21 05:35:33.486,S2,11.761146,76.587991,4.969905,,,,,0.2039663219828646,0.0977801822113526,-0.4435628987552796,-0.24869453053318724,0.0417392811296534,0.07134621309370989,0.12235866495507061,0.18528190050489327,0.3073433889602054,0.2465862644415918
2024-03-22,2024-03-22 00:40:54.000,S1,11.761146,76.587991,,-12.316591583004543,-23.237460379190342,42.745539002007035,1.8866794618127405,,,,,,,,,,
2024-03-23,2024-03-23 05:25:37.743,S2,11.761146,76.587991,0.113337,,,,,0.1927612417640071,0.11027978332945164,-0.4135473105763366,-0.2399997911236893,0.06408716302952502,0.09480911424903724,0.15450320924261876,0.22845879650467935,0.3721259306803595,0.3216559691912709
2024-03-26,2024-03-26 05:35:32.816,S2,11.761146,76.587991,0.80676,,,,,0.19333741146623784,0.09901380847266879,-0.4098343434287742,-0.2502671231537753,0.055048908857509626,0.07857984595635431,0.12682464698331194,0.18770295190260256,0.3125925545571245,0.2642949935815148
2024-03-28,2024-03-28 05:25:37.593,S2,11.761146,76.587991,0.454005,,,,,0.18239123549526226,0.10116813111202307,-0.4285243737948617,-0.24591311655917086,0.05555250320924262,0.09383388960205391,0.1621119383825417,0.2346593089334772,0.3872404364569961,0.32169319640564825
2024-03-31,2024-03-31 05:35:31.547,S2,11.761146,76.587991,4.522664,,,,,0.1927358084336672,0.09992374872224934,-0.40575920091704015,-0.25217262011797076,0.054957894736842115,0.08212207958921694,0.1314346598202824,0.1942508348834071,0.32498973042362,0.2680088575096278
2024-04-02,2024-04-02 05:25:36.060,S2,11.761146,76.587991,1.791628,,,,,0.18550474457342447,0.10917788070573042,-0.41387767617761756,-0.23281856778453353,0.06649152759948651,0.10092605905006417,0.1671997432605905,0.24358100257574825,0.3909765083440308,0.3372636713735558
2024-04-03,2024-04-03 00:40:55.000,S1,11.761146,76.587991,,-14.15701321957971,-20.34882457649137,42.742152432827304,1.437367067535696,,,,,,,,,,
2024-04-05,2024-04-05 05:35:30.414,S2,11.761146,76.587991,10.776124,,,,,0.19639676978132214,0.10545092222686211,-0.41835268697468947,-0.23127559286226326,0.05825853658536585,0.08399281129653402,0.13755327342747115,0.20477586588672866,0.32777907573812587,0.27818408215661106
2024-04-07,2024-04-07 05:25:35.987,S2,11.761146,76.587991,0.026665,,,,,0.1816547514827437,0.10075823811287722,-0.4413408869058466,-0.23670260102462526,0.054507702182284984,0.09251193838254172,0.16495532734274712,0.23834941487410255,0.38573440308087287,0.32281630295250324
2024-04-10,2024-04-10 05:35:32.681,S2,11.761146,76.587991,1.25679,,,,,0.19358862875738161,0.102411446796186,-0.41761959253940584,-0.22597877155484755,0.055612195121951216,0.08298806161745828,0.13639717586649552,0.20206572501818543,0.31977483953786906,0.26198626444159184
2024-04-12,2024-04-12 05:25:37.685,S2,11.761146,76.587991,42.242154,,,,,0.16744223434620809,0.10842039456707801,-0.3597405065991368,-0.24325001164282434,0.08818382541720153,0.11889422336328627,0.1799956354300385,0.25258588584304925,0.4145637997432606,0.3578147625160462
2024-04-15,2024-04-15 00:40:55.000,S1,11.761146,76.587991,,-14.102968145417869,-20.924932033166968,42.763138860843256,1.4837253986116101,,,,,,,,,,
2024-04-15,2024-04-15 05:35:33.357,S2,11.761146,76.587991,45.156977,,,,,0.14201639248063908,0.0856770071810433,-0.2861371770043335,-0.14250617254481862,0.0867865211810013,0.11048703465982028,0.14942464698331195,0.19895327504394292,0.2649609756097561,0.22744056482670091
2024-04-17,2024-04-17 05:25:41.196,S2,11.761146,76.587991,29.845488,,,,,0.16911287667335992,0.1001464819465557,-0.37385910889910706,-0.24195018523715384,0.07219858793324775,0.10656379974326058,0.16615507060333762,0.23387470971482097,0.38290616174582803,0.3139659820282414
2024-04-20,2024-04-20 05:35:35.761,S2,11.761146,76.587991,100.0,,,,,0.07033342932984687,0.13151197683066917,-0.08283220722964942,0.10902950563461639,0.3164626444159178,0.3134074454428755,0.32139204107830555,0.37001899519842,0.29726315789473684,0.24240526315789473
2024-04-22,2024-04-22 05:25:37.409,S2,11.761146,76.587991,14.788154,,,,,0.17244118608292716,0.10644433228909049,-0.3848641421279014,-0.2659811858009124,0.08009794608472401,0.10608010269576379,0.16861386392811295,0.23886700540742767,0.4117711168164313,0.3582698331193838
