lon,lat
7.661565086142960013e+01,1.178652452969591735e+01
7.654338012746822528e+01,1.175233427431580147e+01
7.657270607172657151e+01,1.174078228546305880e+01
7.657689782738094664e+01,1.175791056940765245e+01
7.657639151723411430e+01,1.174895741710987984e+01
7.663391791573533851e+01,1.181005069242593564e+01
7.656036103644748891e+01,1.173897288549274265e+01
7.664984262445996421e+01,1.179563372296995816e+01
7.652954525164865629e+01,1.176309698272686610e+01
7.652097133107744753e+01,1.176241382516711553e+01
7.660944867225967414e+01,1.178892081789026847e+01
7.654490716867941558e+01,1.174500448673487085e+01
7.652727838625958157e+01,1.175735359724705908e+01
7.653588396494578205e+01,1.175662341203810257e+01
7.661055309038559358e+01,1.178255477907187121e+01
7.661176778772041018e+01,1.176754906520011978e+01
7.660951202309779262e+01,1.177491848453452050e+01
7.661504260769874008e+01,1.179417476523356889e+01
7.655155484758539330e+01,1.174609500169764331e+01
7.653803684859047962e+01,1.174739712885684284e+01
7.659935573457948976e+01,1.176777971258670163e+01
7.662323184322239911e+01,1.177508814202442444e+01
7.661717769838183756e+01,1.177930579916721676e+01
7.661040081778408251e+01,1.179616455813219922e+01
7.662883037080925419e+01,1.179142170230688080e+01
7.661920691868529332e+01,1.180050586871226237e+01
7.655890719357418561e+01,1.176302460479770140e+01
7.653863871556785625e+01,1.174194212300142048e+01
7.653261916597965353e+01,1.174739843035776410e+01
7.660559941870883449e+01,1.176969089189875994e+01
7.660065372805836148e+01,1.177469368322649146e+01
7.660511200306402202e+01,1.176012882229401235e+01
7.660763708990025123e+01,1.175490875720982764e+01
7.660735987466857466e+01,1.176480769712238938e+01
7.661333154169869886e+01,1.176012018691804784e+01
7.661580446293486091e+01,1.177281463566916031e+01
7.662154598665780725e+01,1.179084253663082649e+01
7.662654076398290215e+01,1.179863563151413608e+01
7.655680214994779931e+01,1.175387747852697373e+01
7.661894116862963244e+01,1.175602156092701378e+01
7.662437110936200213e+01,1.178317745128507887e+01
7.662197909252550687e+01,1.179606213134069215e+01
7.663391674319181845e+01,1.179700636065108377e+01
7.662887459555976477e+01,1.180321702672134343e+01
7.662691082726499303e+01,1.175500873399269963e+01
7.662216242954599466e+01,1.176531272950763096e+01
7.663735751299974197e+01,1.178876398840437645e+01
7.664043295940481926e+01,1.180085158606244633e+01
7.662059595078990526e+01,1.177043030193355122e+01
7.661658948990579177e+01,1.176468499572222015e+01
7.662611068587649754e+01,1.176088610579502713e+01
7.663371403437025720e+01,1.179208238103205453e+01
7.664312469911965309e+01,1.180812031997165334e+01
7.663973246869491618e+01,1.179459477024421865e+01
7.664445950225180582e+01,1.178927031945375958e+01
7.664457108294824650e+01,1.179722067643244543e+01
7.656753059122269178e+01,1.179492175022427958e+01
7.659377229016425304e+01,1.178452858939366266e+01
7.664827596904019913e+01,1.178216449926097376e+01
7.664026809536625251e+01,1.176315530916425445e+01
7.657131250079743268e+01,1.178410343805163407e+01
7.656169670956414564e+01,1.177557271992718313e+01
7.656960708364255197e+01,1.177634097771858634e+01
7.657769153223382830e+01,1.173367886281481631e+01
7.652646636604094965e+01,1.178278395233363796e+01
7.652331298473548316e+01,1.177569496930967929e+01
7.652783711013992729e+01,1.177009251443518068e+01
7.652502373038478822e+01,1.176569924489271202e+01
7.654049970158109772e+01,1.176947810687069484e+01
7.653407740996625819e+01,1.176790993688077869e+01
7.653871212252225575e+01,1.176286393913511752e+01
7.653574410136018003e+01,1.177501918859434582e+01
7.654880376374154594e+01,1.176368516420336263e+01
7.654212514142744794e+01,1.177568440446242626e+01
7.654767468122101093e+01,1.177091496907562984e+01
7.654361030756075479e+01,1.176508877443565915e+01
7.654355306170255346e+01,1.175871048046335154e+01
7.654983315333927862e+01,1.175534970480999952e+01
7.655417401002986821e+01,1.176822690560715756e+01
7.654827472563157187e+01,1.175027228462327500e+01
7.655430108872961625e+01,1.175926883373053755e+01
7.656052342509164532e+01,1.176924942756295600e+01
7.656884060318910201e+01,1.176376769771253805e+01
7.656374717310117717e+01,1.176509017106648081e+01
7.656435520516141935e+01,1.175696220834106676e+01
7.656777737940699069e+01,1.177014251569210224e+01
7.657855775802237019e+01,1.176866444688325508e+01
7.657349927117822119e+01,1.177182277200213001e+01
7.655368695824816427e+01,1.177625051467176043e+01
7.653976734865246101e+01,1.179661239489818847e+01
7.653633133511770836e+01,1.179259785722701004e+01
7.654702179376856463e+01,1.179661460140347629e+01
7.658613013428110605e+01,1.174737386389176663e+01
7.665480136848050563e+01,1.179810511987797383e+01
7.665229318211837040e+01,1.179121970349213555e+01
7.663141220775425211e+01,1.178469708540862726e+01
7.663719084061848719e+01,1.178262854355531175e+01
7.663186401679102744e+01,1.177685344762339881e+01
7.663978847104567649e+01,1.177703229586473022e+01
7.656514437331462375e+01,1.178118256747123027e+01
